Strike,Last,% From Last,Bid,Midpoint,Ask,Change,%Chg,IV,Volume,Open Int,Type
160,0,-0.5214,174.31,174.48,174.65,0,unch,1.9417,0,0,Call
165,0,-0.5065,169.31,169.48,169.65,0,unch,1.8636,0,0,Call
170,0,-0.4915,164.3,164.48,164.65,0,unch,1.7783,0,0,Call
175,0,-0.4766,159.31,159.48,159.65,0,unch,1.7143,0,0,Call
180,0,-0.4616,154.3,154.48,154.65,0,unch,1.6338,0,0,Call
185,0,-0.4467,149.3,149.48,149.65,0,unch,1.5645,0,0,Call
190,0,-0.4317,144.31,144.48,144.65,0,unch,1.5057,0,0,Call
195,0,-0.4167,139.31,139.48,139.65,0,unch,1.4398,0,0,Call
200,0,-0.4018,134.3,134.48,134.66,0,unch,1.3756,0,0,Call
205,0,-0.3868,129.3,129.48,129.66,0,unch,1.3129,0,0,Call
210,0,-0.3719,124.31,124.49,124.66,0,unch,1.259,0,0,Call
215,0,-0.3569,119.3,119.48,119.66,0,unch,1.1919,0,0,Call
220,0,-0.342,114.3,114.48,114.66,0,unch,1.1334,0,0,Call
225,95.3,-0.327,109.31,109.49,109.66,95.3,unch,1.0829,3,3,Call
230,92.02,-0.3121,104.31,104.49,104.66,92.02,unch,1.0267,10,10,Call
235,0,-0.2971,99.31,99.49,99.66,0,unch,0.9716,0,0,Call
240,91.67,-0.2821,94.31,94.49,94.66,8.78,0.1059,0,10,10,Call
245,0,-0.2672,89.31,89.49,89.67,0,unch,0.8701,0,0,Call
250,73.32,-0.2522,84.32,84.5,84.67,1.87,0.0262,0.823,10,10,Call
255,62.07,-0.2373,79.33,79.5,79.66,62.07,unch,0.7714,20,20,Call
260,65.15,-0.2223,74.33,74.5,74.66,65.15,unch,0.7207,2,2,Call
265,61.23,-0.2074,69.35,69.51,69.67,5.14,0.0916,0.6834,10,11,Call
270,58.96,-0.1924,64.35,64.52,64.68,5.47,0.1023,0.6374,15,11,Call
274,0,-0.1805,60.37,60.52,60.66,0,unch,0.5979,0,0,Call
275,54.07,-0.1775,59.42,59.55,59.68,5.52,0.1137,0.6103,5,22,Call
276,0,-0.1745,58.37,58.53,58.69,0,unch,0.5882,0,0,Call
277,0,-0.1715,57.41,57.55,57.69,0,unch,0.5902,0,0,Call
278,53.43,-0.1685,56.37,56.53,56.69,7.72,0.1689,0.5685,1,2,Call
279,0,-0.1655,55.38,55.54,55.7,0,unch,0.5646,0,0,Call
280,51.87,-0.1625,54.37,54.54,54.7,-0.02,-0.0004,0,5,56,Call
